W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
1	1	1	1	1	0	0	1	0
1	1	1	1	1	0	0	1	60
1	1	1	1	1	0	0	1	600
1	1	1	1	1	0	0	1	1200
1	1	1	1	1	0	0	1	1800
1	1	1	1	1	0	0	1	2400
1	1	1	1	1	0	0	1	3000
1	1	1	1	1	0	0	1	3600
1	1	1	1	1	0	0	1	4200
1	1	1	1	1	0	0	1	4800
1	1	1	1	1	0	0	1	5400
1	1	1	1	1	0	0	1	6000
1	1	1	1	1	0	0	1	6060
1	1	1	1	1	0	0	1	6600
1	1	1	1	1	0	0	1	6660
1	1	1	1	1	0	0	1	6780
1	1	1	1	1	0	0	1	7020
1	1	1	1	1	0	0	1	7200
1	1	1	1	1	0	0	1	7500
1	1	1	1	1	0	0	1	7800
1	1	1	1	1	0	0	1	8400
1	1	1	1	1	0	0	1	9000
1	1	1	1	1	0	0	1	9600
1	1	1	1	1	0	0	1	10200
1	1	1	1	1	0	0	1	10800
1	1	1	1	1	0	0	1	11400
1	1	1	1	1	0	0	1	12000
1	1	1	1	1	0	0	1	12600
1	1	1	1	1	0	0	1	13200
1	1	1	1	1	0	0	1	13800
1	1	1	1	1	0	0	1	14400
1	1	1	1	1	0	0	1	15000
1	1	1	1	1	0	0	1	15600
1	1	1	1	1	0	0	1	16200
1	1	1	1	1	0	0	1	16380
1	1	1	1	1	0	0	1	16500
1	1	1	1	1	0	0	1	16620
1	1	1	1	1	0	0	1	16800
1	1	1	1	1	0	0	1	17100
1	1	1	1	1	0	0	1	17400
1	1	1	1	1	0	0	1	18000
1	1	1	1	1	0	0	1	18600
1	1	1	1	1	0	0	1	19200
1	1	1	1	1	0	0	1	19800
1	1	1	1	1	0	0	1	20400
1	1	1	1	1	0	0	1	21000
1	1	1	1	1	0	0	1	21600
1	1	1	1	1	0	0	1	22200
1	1	1	1	1	0	0	1	22800
1	1	1	1	1	0	0	1	23400
1	1	1	1	1	0	0	1	24000
1	1	1	1	1	0	0	1	24600
1	1	1	1	1	0	0	1	25200
1	1	1	1	1	0	0	1	25800
1	1	1	1	1	0	0	1	25980
1	1	1	1	1	0	0	1	26100
1	1	1	1	1	0	0	1	26220
1	1	1	1	1	0	0	1	26400
1	1	1	1	1	0	0	1	27000
1	1	1	1	1	0	0	1	27420
1	1	1	1	1	0	0	1	27600
1	1	1	1	1	0	0	1	28200
1	1	1	1	1	0	0	1	28260
1	1	1	1	1	0	0	1	28380
1	1	1	1	1	0	0	1	28500
1	1	1	1	1	0	0	1	28620
1	1	1	1	1	0	0	1	28740
1	1	1	1	1	0	0	1	28800
1	1	1	1	1	0	0	1	29100
1	1	1	1	1	0	0	1	29220
1	1	1	1	1	0	0	1	29400
1	1	1	1	1	0	0	1	30000
1	1	1	1	1	0	0	1	30600
1	1	1	1	1	0	0	1	31200
1	1	1	1	1	0	0	1	31800
1	1	1	1	1	0	0	1	32400
1	1	1	1	1	0	0	1	33000
1	1	1	1	1	0	0	1	33600
1	1	1	1	1	0	0	1	34200
1	1	1	1	1	0	0	1	34800
1	1	1	1	1	0	0	1	35400
1	1	1	1	1	0	0	1	36000
1	1	1	1	1	0	0	1	36300
1	1	1	1	1	0	0	1	36420
1	1	1	1	1	0	0	1	36540
1	1	1	1	1	0	0	1	36600
1	1	1	1	1	0	0	1	37200
1	1	1	1	1	0	0	1	37500
1	1	1	1	1	0	0	1	37800
1	1	1	1	1	0	0	1	38400
1	1	1	1	1	0	0	1	39000
1	1	1	1	1	0	0	1	39600
1	1	1	1	1	0	0	1	40200
1	1	1	1	1	0	0	1	40800
1	1	1	1	1	0	0	1	41400
1	1	1	1	1	0	0	1	42000
1	1	1	1	1	0	0	1	42600
1	1	1	1	1	0	0	1	43200
1	1	1	1	1	0	0	1	43800
1	1	1	1	1	0	0	1	44400
1	1	1	1	1	0	0	1	45000
1	1	1	1	1	0	0	1	45600
1	1	1	1	1	0	0	1	46200
1	1	1	1	1	0	0	1	46380
1	1	1	1	1	0	0	1	46500
1	1	1	1	1	0	0	1	46620
1	1	1	1	1	0	0	1	46800
1	1	1	1	1	0	0	1	47400
1	1	1	1	1	0	0	1	47580
1	1	1	1	1	0	0	1	48000
1	1	1	1	1	0	0	1	48600
1	1	1	1	1	0	0	1	49200
1	1	1	1	1	0	0	1	49800
1	1	1	1	1	0	0	1	50400
1	1	1	1	1	0	0	1	50580
1	1	1	1	1	0	0	1	50700
1	1	1	1	1	0	0	1	50820
1	1	1	1	1	0	0	1	50940
1	1	1	1	1	0	0	1	51000
1	1	1	1	1	0	0	1	51600
1	1	1	1	1	0	0	1	51780
1	1	1	1	1	0	0	1	52200
1	1	1	1	1	0	0	1	52500
1	1	1	1	1	0	0	1	52800
1	1	1	1	1	0	0	1	53400
1	1	1	1	1	0	0	1	54000
1	1	1	1	1	0	0	1	54600
1	1	1	1	1	0	0	1	55200
1	1	1	1	1	0	0	1	55800
1	1	1	1	1	0	0	1	56400
1	1	1	1	1	0	0	1	56460
1	1	1	1	1	0	0	1	56580
1	1	1	1	1	0	0	1	56700
1	1	1	1	1	0	0	1	57000
1	1	1	1	1	0	0	1	57600
1	1	1	1	1	0	0	1	58200
1	1	1	1	1	0	0	1	58800
1	1	1	1	1	0	0	1	59400
1	1	1	1	1	0	0	1	60000
1	1	1	1	1	0	0	1	60600
1	1	1	1	1	0	0	1	61200
1	1	1	1	1	0	0	1	61800
1	1	1	1	1	0	0	1	62100
1	1	1	1	1	0	0	1	62400
1	1	1	1	1	0	0	1	63000
1	1	1	1	1	0	0	1	63600
1	1	1	1	1	0	0	1	64200
1	1	1	1	1	0	0	1	64380
1	1	1	1	1	0	0	1	64620
1	1	1	1	1	0	0	1	64800
1	1	1	1	1	0	0	1	65400
1	1	1	1	1	0	0	1	66000
1	1	1	1	1	0	0	1	66600
1	1	1	1	1	0	0	1	67200
1	1	1	1	1	0	0	1	67800
1	1	1	1	1	0	0	1	68400
1	1	1	1	1	0	0	1	69000
1	1	1	1	1	0	0	1	69600
1	1	1	1	1	0	0	1	70200
1	1	1	1	1	0	0	1	70800
1	1	1	1	1	0	0	1	71400
1	1	1	1	1	0	0	1	72000
1	1	1	1	1	0	0	1	72420
1	1	1	1	1	0	0	1	72600
1	1	1	1	1	0	0	1	73200
1	1	1	1	1	0	0	1	73260
1	1	1	1	1	0	0	1	73380
1	1	1	1	1	0	0	1	73500
1	1	1	1	1	0	0	1	73800
1	1	1	1	1	0	0	1	74400
1	1	1	1	1	0	0	1	75000
1	1	1	1	1	0	0	1	75600
1	1	1	1	1	0	0	1	76200
1	1	1	1	1	0	0	1	76800
1	1	1	1	1	0	0	1	77400
1	1	1	1	1	0	0	1	78000
1	1	1	1	1	0	0	1	78600
1	1	1	1	1	0	0	1	79200
1	1	1	1	1	0	0	1	79800
1	1	1	1	1	0	0	1	80400
1	1	1	1	1	0	0	1	81000
1	1	1	1	1	0	0	1	81600
1	1	1	1	1	0	0	1	82200
1	1	1	1	1	0	0	1	82500
1	1	1	1	1	0	0	1	82800
1	1	1	1	1	0	0	1	83400
1	1	1	1	1	0	0	1	84000
1	1	1	1	1	0	0	1	84600
1	1	1	1	1	0	0	1	85200
1	1	1	1	1	0	0	1	85800
1	1	1	1	1	0	0	1	86400
1	1	1	1	1	0	0	1	86700
1	1	1	1	1	0	0	1	86820
1	1	1	1	1	0	0	1	87000
1	1	1	1	1	0	0	1	87600
1	1	1	1	1	0	0	1	88200
1	1	1	1	1	0	0	1	88800
1	1	1	1	1	0	0	1	89400
1	1	1	1	1	0	0	1	90000
1	1	1	1	1	0	0	1	90600
1	1	1	1	1	0	0	1	91200
1	1	1	1	1	0	0	1	91800
1	1	1	1	1	0	0	1	92400
1	1	1	1	1	0	0	1	92580
